epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,130.376,1.07426,0.82143,1.18572,0.85577,0.91304,0.95831,0.67426,1.23287,0.70572,1.12023,0.0010364,0.0010364,0.0010364
75,132.197,1.02923,0.86504,1.17772,0.83359,0.91304,0.9446,0.63651,1.24546,0.73302,1.11319,0.0010232,0.0010232,0.0010232
76,133.88,1.02004,0.80582,1.18324,0.86404,0.91304,0.9581,0.63941,1.30485,0.71973,1.1274,0.00101,0.00101,0.00101
77,135.575,1.04374,0.84552,1.17389,0.91799,0.97375,0.98079,0.56862,1.56348,0.74951,1.28016,0.0009968,0.0009968,0.0009968
78,137.312,1.03071,0.83018,1.17388,0.87884,1,0.98114,0.54585,1.6656,0.81792,1.32446,0.0009836,0.0009836,0.0009836
79,138.983,1.04495,0.8497,1.19279,0.96114,0.86957,0.97286,0.6297,1.35183,0.75438,1.15157,0.0009704,0.0009704,0.0009704
80,140.652,1.04847,0.83097,1.18186,0.99085,0.95652,0.99038,0.6352,1.31536,0.66247,1.13786,0.0009572,0.0009572,0.0009572
81,142.365,1.0571,0.85307,1.20599,0.87764,0.95652,0.97652,0.5306,1.6174,0.7509,1.27094,0.000944,0.000944,0.000944
82,144.123,0.97101,0.81538,1.16927,0.9576,0.98245,0.99167,0.664,1.25202,0.61907,1.1043,0.0009308,0.0009308,0.0009308
83,145.834,0.98991,0.77906,1.15667,0.95518,1,0.995,0.67571,1.20746,0.60347,1.10286,0.0009176,0.0009176,0.0009176
84,147.541,1.07799,0.90589,1.23433,0.88343,1,0.98042,0.55562,1.54705,0.69347,1.25682,0.0009044,0.0009044,0.0009044
85,149.274,1.02775,0.83782,1.18086,0.83927,0.95652,0.97068,0.56956,1.45514,0.69366,1.20652,0.0008912,0.0008912,0.0008912
86,151.154,1.0479,0.77173,1.22074,1,0.90764,0.97986,0.60592,1.25721,0.76169,1.14695,0.000878,0.000878,0.000878
87,152.817,0.98308,0.80986,1.14667,0.83531,0.86957,0.92957,0.53864,1.42261,0.72294,1.34595,0.0008648,0.0008648,0.0008648
88,154.579,0.97805,0.74328,1.13861,0.95193,0.86137,0.9287,0.58828,1.36448,0.65045,1.27384,0.0008516,0.0008516,0.0008516
89,156.3,1.02179,0.77585,1.17347,0.98949,0.95652,0.98672,0.60511,1.28345,0.63885,1.15911,0.0008384,0.0008384,0.0008384
90,158.007,0.94919,0.70738,1.13325,0.95203,1,0.99167,0.60054,1.29089,0.60436,1.1463,0.0008252,0.0008252,0.0008252
91,159.703,0.9448,0.75666,1.12565,0.90864,1,0.98079,0.65451,1.11895,0.55678,1.10461,0.000812,0.000812,0.000812
92,161.392,0.98604,0.74181,1.1673,0.94442,1,0.98958,0.58532,1.50413,0.60665,1.25947,0.0007988,0.0007988,0.0007988
